code examples,prefix,middle,suffix,completion
"def shoot(self):
    if self.cool_down_counter == 0:
        laser = Laser(self.x, self.y, self.laser_img)
        self.lasers.append(laser)
        self.cool_down_counter = 1","def shoot(self):
    if self.cool_down_counter == 0:","        laser = Laser(self.x, self.y, self.laser_img)","        self.lasers.append(laser)
        self.cool_down_counter = 1","def shoot(self):
    if self.cool_down_counter == 0:
        self.cool_down_counter = 1
        self.cool_down_timer = 0
        self.cool_down_timer_timer = 0
        self.cool_down_timer_timer_counter = 0"
"def chat():
    print(""Start talking with the bot: (Press q to quit)"")
    while True:
        inp = input(""You: "")
        if inp.lower() == ""q"":
            break       
        result = model.predict([bag_of_words(inp, words)])[0]
        result_index = numpy.argmax(result)
        tag = labels[result_index]
        if result[result_index] > 0.1:
            for tg in data[""intents""]:
                if tg[""tag""] == tag:
                    responses = tg[""responses""]
            print(random.choice(responses))
        else: 
            print(""I did not understand that!"")","def chat():
    print(""Start talking with the bot: (Press q to quit)"")
    while True:
        inp = input(""You: "")
        if inp.lower() == ""q"":
            break       
        result = model.predict([bag_of_words(inp, words)])[0]
        result_index = numpy.argmax(result)
        tag = labels[result_index]
        if result[result_index] > 0.1:
            for tg in data[""intents""]:
                if tg[""tag""] == tag:","                    responses = tg[""responses""]","            print(random.choice(responses))
        else: 
            print(""I did not understand that!"")","def chat():
    print(""Start talking with the bot: (Press q to quit)"")
    while True:
        inp = input(""You: "")
        if inp.lower() == ""q"":
            break       
        result = model.predict([bag_of_words(inp, words)])[0]
        result_index = numpy.argmax(result)
        tag = labels[result_index]
        if result[result_index] > 0.1:
            for tg in data[""intents""]:
                if tg[""tag""] == tag:
                    tg[""confidence""] = 1.0
                    tg[""confidence_index""] = result_index
                    tg[""confidence_index_index""] = result_index
                    tg[""confidence_index_index_index""] = result_index
                   "
"def clicker():
    while True:
        if clicking:
            mouse.click(Button.left, 1)
        time.sleep(0.00001)",def clicker():,    while True:,"        if clicking:
            mouse.click(Button.left, 1)
        time.sleep(0.00001)","def clicker():
    """"""
    Clicker class.
    """"""
    def __init__(self, *args, **kwargs):
        super().__init__(*args, **kwargs)
        self.clicker = clicker_factory.get_clicker()

    def"
"class ApartmentItem(scrapy.Item):
    title = scrapy.Field()
    price = scrapy.Field()
    square_price = scrapy.Field()
    area = scrapy.Field()
    rooms = scrapy.Field()
    floor = scrapy.Field()
    city = scrapy.Field()
    location = scrapy.Field()
    source = scrapy.Field()","class ApartmentItem(scrapy.Item):
    title = scrapy.Field()
    price = scrapy.Field()
    square_price = scrapy.Field()
    area = scrapy.Field()
    rooms = scrapy.Field()",    floor = scrapy.Field(),"    city = scrapy.Field()
    location = scrapy.Field()
    source = scrapy.Field()","class ApartmentItem(scrapy.Item):
    title = scrapy.Field()
    price = scrapy.Field()
    square_price = scrapy.Field()
    area = scrapy.Field()
    rooms = scrapy.Field()
    bedrooms = scrapy.Field()
    beds = scrapy.Field()
    beds_per_room = scrapy.Field()
    beds_per_bed = scrapy.Field()
    beds_per_"
"@router.post(""/"", status_code=status.HTTP_201_CREATED, response_model=schemas.UserOut)
def create_user(user: schemas.UserCreate, db: Session = Depends(get_db)):
    hashed_password = utils.hash(user.password)
    user.password = hashed_password
    new_user = models.User(**user.model_dump())
    db.add(new_user)
    db.commit()
    db.refresh(new_user)
    return new_user","@router.post(""/"", status_code=status.HTTP_201_CREATED, response_model=schemas.UserOut)
def create_user(user: schemas.UserCreate, db: Session = Depends(get_db)):
    hashed_password = utils.hash(user.password)
    user.password = hashed_password
    new_user = models.User(**user.model_dump())",    db.add(new_user),"    db.commit()
    db.refresh(new_user)
    return new_user","@router.post(""/"", status_code=status.HTTP_201_CREATED, response_model=schemas.UserOut)
def create_user(user: schemas.UserCreate, db: Session = Depends(get_db)):
    hashed_password = utils.hash(user.password)
    user.password = hashed_password
    new_user = models.User(**user.model_dump())
    db.add(new_user)
    db.commit()
    return new_user


@router.get(""/{user_id}"", response_model=schemas.UserOut)
def get_user(user_id:"
"class Settings(BaseSettings):
    database_hostname: str
    database_port: str
    database_password: str
    database_name: str
    database_username: str
    secret_key: str
    algorithm: str
    access_token_expire_minutes: int

    class Config:
        env_file = "".env""","class Settings(BaseSettings):
    database_hostname: str
    database_port: str
    database_password: str
    database_name: str
    database_username: str",    secret_key: str,"    algorithm: str
    access_token_expire_minutes: int

    class Config:
        env_file = "".env""","class Settings(BaseSettings):
    database_hostname: str
    database_port: str
    database_password: str
    database_name: str
    database_username: str
    database_password_hash: str
    database_name_hash: str
    database_host: str
    database_port_hash: str
    database_user: str
    database_password_hash_hash: str
    database_name"
"def get_db():
    db = SessionLocal()
    try:
        yield db
    finally:
        db.close()","def get_db():
    db = SessionLocal()
    try:
        yield db",    finally:,        db.close(),"def get_db():
    db = SessionLocal()
    try:
        yield db
    finally:
        db.close()


def get_db_session(db_url):
    db = get_db()
    try:
        yield db
    finally:
        db.close()


def get_db_session"
"class Follow(Base):
    __tablename__ = ""followers""
    user_id = Column(
        Integer, ForeignKey(""users.id"", ondelete=""CASCADE""), primary_key=True
    )
    follow_user_id = Column(
        Integer, ForeignKey(""users.id"", ondelete=""CASCADE""), primary_key=True","class Follow(Base):
    __tablename__ = ""followers""
    user_id = Column(","        Integer, ForeignKey(""users.id"", ondelete=""CASCADE""), primary_key=True","    )
    follow_user_id = Column(
        Integer, ForeignKey(""users.id"", ondelete=""CASCADE""), primary_key=True","class Follow(Base):
    __tablename__ = ""followers""
    user_id = Column(Integer, ForeignKey(""users.id""), primary_key=True)
    follower_id = Column(Integer, ForeignKey(""users.id""), primary_key=True)
    follower = relationship(""User"", back_populates"
"class User(Base):
    __tablename__ = ""users""
    id = Column(Integer, primary_key=True, nullable=False)
    email = Column(String, nullable=False, unique=True)
    password = Column(String, nullable=False)
    created_at = Column(
        TIMESTAMP(timezone=True), nullable=False, server_default=text(""now()"")
    )
    followers = Column(Integer, nullable=False)
    following = Column(Integer, nullable=False)","class User(Base):
    __tablename__ = ""users""
    id = Column(Integer, primary_key=True, nullable=False)
    email = Column(String, nullable=False, unique=True)
    password = Column(String, nullable=False)
    created_at = Column(
        TIMESTAMP(timezone=True), nullable=False, server_default=text(""now()"")",    ),"    followers = Column(Integer, nullable=False)
    following = Column(Integer, nullable=False)","class User(Base):
    __tablename__ = ""users""
    id = Column(Integer, primary_key=True, nullable=False)
    email = Column(String, nullable=False, unique=True)
    password = Column(String, nullable=False)
    created_at = Column(
        TIMESTAMP(timezone=True), nullable=False, server_default=text(""now()"")
    )
    updated_at = Column(
        TIMESTAMP(timezone=True), nullable=False, server_default=text(""now()"")
    )

    def __init__(self, email, password):
        self.email = email
        self"
"def preprocess_face(face):
    face_resized = cv2.resize(face, (48, 48))
    face_normalized = face_resized / 255.0
    face_input = np.expand_dims(face_normalized, axis=(0, -1))
    return face_input","def preprocess_face(face):
    face_resized = cv2.resize(face, (48, 48))",    face_normalized = face_resized / 255.0,"    face_input = np.expand_dims(face_normalized, axis=(0, -1))
    return face_input","def preprocess_face(face):
    face_resized = cv2.resize(face, (48, 48))
    face_resized = face_resized.astype(np.float32) / 255.0
    face_resized = np.expand_dims(face_resized, axis=0)
    face_"
