Index,Type,Incorrect,Correct,Prediction,Levenshtein Distance,Accuracy,Exact Match
0,sentence,tsnog bjos data pushes uastralain dollar higher,stong jobs data pushes australian dollar higher,snow boy data pushes australian dollar higher,0.9333333333333333,6.382978723404255,False
1,sentence,thier student chafgeV with %sxi drivers murder,their student is charged with taxi drivers murder,their student changes with %six drivers murder,0.6739130434782609,30.612244897959183,False
2,sentence,ofru teens chragde over sexual assault,four teens charged over sexual assault,of tens charge over sexual assault,0.9705882352941176,2.631578947368421,False
3,sentence,two years to restite power to irsa minKst#r,two years to restore power to iraq minister,two years to restive power to isa midst#r,0.2682926829268293,69.76744186046511,False
4,sentence,anger abpuF forced amalgamation disrupts fi#qt midcoast coincJl,anger about forced amalgamation disrupts first midcoast council,anger about forced amalgamation disrupt i#it midcoast council,0.3442622950819672,63.49206349206349,False
5,sentence,port authoiryt stands by more airport efse,port authority stands by more airport fees,port authority stands by more airport else,0.09523809523809523,90.47619047619048,False
6,sentence,bill eho$ten 6 billion restricting vocagiogal education loAnX,bill shorten 6 billion restricting vocational education loans,bill who$ten 6 billion restricting vocational education long,0.06666666666666667,91.80327868852459,False
7,sentence,sydney news new plans releaCef zhos sirius builidng regamo,sydney news new plans released show sirius builidng revamp,sydney news new plans release his serious building regard,0.45614035087719296,53.44827586206896,False
8,sentence,can you $#ll shakespeare f%oH artificial inteOllgence,can you tell shakespeare from artificial intelligence,can you $#ll shakespeare f%of artificial intelligence,0.07547169811320754,92.45283018867924,False
9,sentence,2lectronicX zNop blaze considered suspicious,electronics shop blaze considered suspicious,electronic stop blaze considered suspicious,0.7674418604651163,22.727272727272727,False
10,sentence,fosters ceo dizcussrs profit slJKp,fosters ceo discusses profit slump,foster co discusses profit sleep,0.78125,20.588235294117645,False
11,sentence,tv lpna to cut reigonla jobs union,tv plan to cut regional jobs union,to long to cut regional jobs union,0.14705882352941177,85.29411764705883,False
12,sentence,iraq mortar strike sfss 11 kLkled,iraq mortar strike sees 11 killed,ran mortar strike less 11 killed,0.9375,6.0606060606060606,False
13,sentence,copnamblS orphans lay parents to red%,coonamble orphans lay parents to rest,copnamblS orphans lay parents to red%,0.10810810810810811,89.1891891891892,False
14,sentence,brocons aiming for top four finish ayss kelly,broncos aiming for top four finish says kelly,brooks aiming for top four finish abyss belly,0.8,20.0,False
15,sentence,rina sentences omsuqe bombers to death reprto,iran sentences mosque bombers to death report,ring sentences mosque combers to death report,0.1111111111111111,88.88888888888889,False
16,sentence,aydneU man shL6 at in neighbourj0od row,sydney man shot at in neighbourhood row,sydney man she at in neighbourhood row,0.631578947368421,35.8974358974359,False
17,sentence,coronavirus ausFFalia live updates f<og victoria jobkewped,coronavirus australia live updates blog victoria jobkeeper,coronavirus australia live updated f<of victoria jobkewped,0.10344827586206896,89.65517241379311,False
18,sentence,herculian prince cops c&Ls pemaltg,herculian prince cops cups penalty,herculean prince corps c&Is penalty,0.47058823529411764,52.94117647058824,False
19,sentence,share jarmet set for xlee(y start,share market set for sleepy start,share james set for lee(y start,0.7741935483870968,21.21212121212121,False
20,sentence,bDnn4tt atayinT at knights report,bennett staying at knights report,bennett staying at knights report,0.0,100.0,True
21,sentence,bgenRia to miss opening wa&llambies tests,genia to miss opening wallabies tests,bgenRia to miss opening wa&llambies tests,0.918918918918919,8.108108108108109,False
22,sentence,imlliosn oslt billing scams banks not checking cacuont names,millions lost billing scams banks not checking account names,millions out filling scars banks not checking account names,0.8135593220338984,18.333333333333332,False
23,sentence,pm up beat baotu wtear control apln,pm up beat about water control plan,pm up beat about wear control all,0.42424242424242425,54.285714285714285,False
24,sentence,*reykjav6ik zstGocks plunge 76pc on re op1eninBg,reykjavik stocks plunge 76pc on re opening,*reykjav6ik stocks plunge 76pc on re opening,0.9761904761904762,2.380952380952381,False
25,sentence,govt ruegd to continue scholoeis role,govt urged to continue schoolies role,got red to continue scholoeis role,0.8529411764705882,13.513513513513514,False
26,sentence,us fl2xRs muscles as asia worries anou6 woJth china sea row,us flexes muscles as asia worries about south china sea row,us fl2xRs muscles as asia worries about worth china sea row,0.06779661016949153,93.22033898305084,False
27,sentence,hIvt dedendw affordable housing delay,govt defends affordable housing delay,have depends unfordable housing delay,0.16216216216216217,83.78378378378379,False
28,sentence,country nsw edpserate for odctosr,country nsw desperate for doctors,country now desperate for doctor,0.03125,93.93939393939394,False
29,sentence,ma$rtk kavanagh danny obrien win cobalt ban Aap@peal at Pvca*t,mark kavanagh danny obrien win cobalt ban appeal at vcat,ma$to kavanagh dandy brief win coat ban Cap@peal at Va*t,0.5892857142857143,41.07142857142857,False
30,sentence,contempt of cotur charge aganits paper rdopped,contempt of court charge against paper dropped,contempt of coeur charge against paper dropped,0.06521739130434782,93.47826086956522,False
31,sentence,gloucester jo6inJs fight for sh(arBe of nsw nminin5g,gloucester joins fight for share of nsw mining,gloucester joints fight for s(are of now mining,0.6739130434782609,32.608695652173914,False
32,sentence,patients !Arned of co^Mterfeit drugs,patients warned of counterfeit drugs,patients !Turned of co^Mterfeit drugs,0.75,25.0,False
33,sentence,blasts ikll 83 in eygptain red sea rserot,blasts kill 83 in egyptian red sea resort,blasts ill 83 in egyptian red sea resort,0.8,19.51219512195122,False
34,sentence,ablrigijal land councils push for mo%thern teGgitory treaty,aboriginal land councils push for northern territory treaty,ablrigijal land councils push for mo%there territory treaty,0.0847457627118644,91.52542372881356,False
35,sentence,obama rteRassurances over c1hroysler,obama reassurances over chrysler,drama rteRassurances over c1hroysler,0.84375,15.625,False
36,sentence,beWr short short documentary acceptance Epeedh,best short short documentary acceptance speech,bear short short documentary acceptance Speech,0.06521739130434782,93.47826086956522,False
37,sentence,aust sodliesr cleared vore airq bodyguard shooting,aust soldiers cleared over iraq bodyguard shooting,must soldiers cleared more air bodyguard shooting,0.5306122448979592,46.0,False
38,sentence,smthi anticipating improved kiwis performance,smith anticipating improved kiwis performance,smith anticipating improved kiss performance,0.3181818181818182,66.66666666666666,False
39,sentence,un nuclear watchdog idse in car acciedtn,un nuclear watchdog dies in car accident,un nuclear watchdog idle in car accident,0.1,90.0,False
40,sentence,hicks at breaking point assy lawyer,hicks at breaking point says lawyer,licks at breaking point ass lawyer,0.3235294117647059,65.71428571428571,False
41,sentence,uastraila to host spain in cup ifanl,australia to host spain in cup final,australia to host spain in cup fall,0.08571428571428572,88.88888888888889,False
42,sentence,elcetvie srugrey wiaitng times longest in act,elective surgery waiting times longest in act,elective surgery waiting times longest in act,0.0,100.0,True
43,sentence,report finds government failing d(sabl$d communigJ,report finds government failing disabled community,report finds government failing d(sable$d community,0.22,78.0,False
44,sentence,council phoes for celna up with churchs building,council hopes for clean up with churchs building,council shoes for cela up with church building,0.6304347826086957,35.41666666666667,False
