Index,Original,Corrected,Predicted,Levenshtein Distance,Accuracy,Exact Match
0,tsnog bjos data pushes uastralain dollar higher,stong jobs data pushes australian dollar higher,snog boos data pushes uastralain dollar higher,0.8695652173913043,12.76595744680851,False
1,thier student chafgeV with %sxi drivers murder,their student is charged with taxi drivers murder,their student change with six drivers murder,0.6363636363636364,32.6530612244898,False
2,ofru teens chragde over sexual assault,four teens charged over sexual assault,of teens charge over sexual assault,0.9428571428571428,5.263157894736842,False
3,two years to restite power to irsa minKst#r,two years to restore power to iraq minister,two years to respite power to is minister,0.2926829268292683,67.44186046511628,False
4,anger abpuF forced amalgamation disrupts fi#qt midcoast coincJl,anger about forced amalgamation disrupts first midcoast council,anger about forced amalgamation disrupts first miscast council,0.1935483870967742,79.36507936507937,False
5,port authoiryt stands by more airport efse,port authority stands by more airport fees,port authority stands by more airport else,0.09523809523809523,90.47619047619048,False
6,bill eho$ten 6 billion restricting vocagiogal education loAnX,bill shorten 6 billion restricting vocational education loans,bill shorten 6 billion restricting vocational education loan,0.0,98.36065573770492,False
7,sydney news new plans releaCef zhos sirius builidng regamo,sydney news new plans released show sirius builidng revamp,kidney news new plans release hos serious building regard,0.49122807017543857,50.0,False
8,can you $#ll shakespeare f%oH artificial inteOllgence,can you tell shakespeare from artificial intelligence,can you all shakespeare for artificial intelligence,0.7647058823529411,22.641509433962266,False
9,2lectronicX zNop blaze considered suspicious,electronics shop blaze considered suspicious,electronic knop blaze considered suspicious,0.7674418604651163,22.727272727272727,False
10,fosters ceo dizcussrs profit slJKp,fosters ceo discusses profit slump,fosters coo discusses profit sleep,0.08823529411764706,91.17647058823529,False
11,tv lpna to cut reigonla jobs union,tv plan to cut regional jobs union,to long to cut regional jobs union,0.14705882352941177,85.29411764705883,False
12,iraq mortar strike sfss 11 kLkled,iraq mortar strike sees 11 killed,iraq mortar strike sass 11 killed,0.06060606060606061,93.93939393939394,False
13,copnamblS orphans lay parents to red%,coonamble orphans lay parents to rest,copnamblS orphans lay parents to red,0.08333333333333333,89.1891891891892,False
14,brocons aiming for top four finish ayss kelly,broncos aiming for top four finish says kelly,protons aiming for top four finish ass kelly,0.2727272727272727,71.11111111111111,False
15,rina sentences omsuqe bombers to death reprto,iran sentences mosque bombers to death report,ring sentences mosque bombers to death repro,0.13636363636363635,84.44444444444444,False
16,aydneU man shL6 at in neighbourj0od row,sydney man shot at in neighbourhood row,adieu man she at in neighbourj0od row,0.972972972972973,2.564102564102564,False
17,coronavirus ausFFalia live updates f<og victoria jobkewped,coronavirus australia live updates blog victoria jobkeeper,coronavirus australia live updates fog victoria jobkewped,0.38596491228070173,60.3448275862069,False
18,herculian prince cops c&Ls pemaltg,herculian prince cops cups penalty,herculean prince cops cols penalty,0.08823529411764706,91.17647058823529,False
19,share jarmet set for xlee(y start,share market set for sleepy start,share armet set for sleepy start,0.78125,21.21212121212121,False
20,bDnn4tt atayinT at knights report,bennett staying at knights report,bDnn4tt staying at knights report,0.06060606060606061,93.93939393939394,False
21,bgenRia to miss opening wa&llambies tests,genia to miss opening wallabies tests,biennia to miss opening wallabies tests,0.9459459459459459,5.405405405405405,False
22,imlliosn oslt billing scams banks not checking cacuont names,millions lost billing scams banks not checking account names,million out billing scams banks not checking account names,0.8793103448275862,11.666666666666666,False
23,pm up beat baotu wtear control apln,pm up beat about water control plan,am up beat about wear control all,0.45454545454545453,51.42857142857142,False
24,*reykjav6ik zstGocks plunge 76pc on re op1eninBg,reykjavik stocks plunge 76pc on re opening,*reykjav6ik stocks plunge 76pc on re opening,0.9761904761904762,2.380952380952381,False
25,govt ruegd to continue scholoeis role,govt urged to continue schoolies role,got rued to continue scholoeis role,0.8857142857142857,10.81081081081081,False
26,us fl2xRs muscles as asia worries anou6 woJth china sea row,us flexes muscles as asia worries about south china sea row,us floors muscles as aria worries about worth china sea row,0.1016949152542373,89.83050847457628,False
27,hIvt dedendw affordable housing delay,govt defends affordable housing delay,hit defend affordable housing delay,1.0,0.0,False
28,country nsw edpserate for odctosr,country nsw desperate for doctors,country now desperate for doctor,0.03125,93.93939393939394,False
29,ma$rtk kavanagh danny obrien win cobalt ban Aap@peal at Pvca*t,mark kavanagh danny obrien win cobalt ban appeal at vcat,mark kavanagh nanny brief win cobalt ban appeal at Pvca*t,0.5892857142857143,41.07142857142857,False
30,contempt of cotur charge aganits paper rdopped,contempt of court charge against paper dropped,contempt of your charge against paper dropped,0.6444444444444445,34.78260869565217,False
31,gloucester jo6inJs fight for sh(arBe of nsw nminin5g,gloucester joins fight for share of nsw mining,gloucester joins fight for share of now mining,0.021739130434782608,97.82608695652173,False
32,patients !Arned of co^Mterfeit drugs,patients warned of counterfeit drugs,patients warned of counterfeit drugs,0.0,100.0,True
33,blasts ikll 83 in eygptain red sea rserot,blasts kill 83 in egyptian red sea resort,blasts kill 83 in eygptain red sea resort,0.0975609756097561,90.2439024390244,False
34,ablrigijal land councils push for mo%thern teGgitory treaty,aboriginal land councils push for northern territory treaty,aboriginal land councils push for mother territory treaty,0.38596491228070173,59.32203389830508,False
35,obama rteRassurances over c1hroysler,obama reassurances over chrysler,mama reassurances over c1hroysler,0.90625,9.375,False
36,beWr short short documentary acceptance Epeedh,best short short documentary acceptance speech,bear short short documentary acceptance speed,0.06666666666666667,91.30434782608695,False
37,aust sodliesr cleared vore airq bodyguard shooting,aust soldiers cleared over iraq bodyguard shooting,just soldiers cleared more air bodyguard shooting,0.5306122448979592,46.0,False
38,smthi anticipating improved kiwis performance,smith anticipating improved kiwis performance,sushi anticipating improved kiwis performance,0.08888888888888889,91.11111111111111,False
39,un nuclear watchdog idse in car acciedtn,un nuclear watchdog dies in car accident,in nuclear watchdog idle in car accident,0.125,87.5,False
40,hicks at breaking point assy lawyer,hicks at breaking point says lawyer,hicks at breaking point ass lawyer,0.29411764705882354,68.57142857142857,False
41,uastraila to host spain in cup ifanl,australia to host spain in cup final,australia to host spain in cup fall,0.08571428571428572,88.88888888888889,False
42,elcetvie srugrey wiaitng times longest in act,elective surgery waiting times longest in act,elective surgery waiting times longest in act,0.0,100.0,True
43,report finds government failing d(sabl$d communigJ,report finds government failing disabled community,report finds government failing disabled community,0.0,100.0,True
44,council phoes for celna up with churchs building,council hopes for clean up with churchs building,council shoes for cella up with church building,0.3404255319148936,64.58333333333334,False
45,abbtot commits to 38 millino for hoabtr,abbott commits to 38 million for hobart,abbot commits to 38 million for hoar,0.8055555555555556,17.94871794871795,False
46,lfodo ivctmis get more mtie for aid,flood victims get more time for aid,food victims get more tie for aid,0.9393939393939394,5.714285714285714,False
47,gladXtoMe council delivers buEge6 rate cap,gladstone council delivers budget rate cap,gladstone council delivers budget rate cap,0.0,100.0,True
48,emerson labsts albro spending on qld drivers ilcecne system,emerson blasts labor spending on qld drivers licence system,emersion lasts also spending on old drivers licence system,0.7931034482758621,20.33898305084746,False
49,ken hengU david gonsiu audtraPia israel chamber of commerce,ken henry david gonski australia israel chamber of commerce,ken henge avid gossip australia israel chamber of commerce,0.8448275862068966,15.254237288135593,False
50,patients wtai for surgery as nruess seek omer pay,patients wait for surgery as nurses seek more pay,patients what for surgery as guess seek omer pay,0.3333333333333333,65.3061224489796,False
51,verrednre how free trade agreements can admgae free trade,verrender how free trade agreements can damage free trade,verrednre how free trade agreements can damage free trade,0.07017543859649122,92.98245614035088,False
52,2gyptiag head of armed fprc$s mAkDs breaks silence,egyptian head of armed forces makes breaks silence,2gyptiag head of armed forces makes breaks silence,0.04,96.0,False
53,anNoican church implements paedophile progrAK,anglican church implements paedophile program,anNoican church implements pedophile program,0.4090909090909091,57.77777777777777,False
54,wallabies look to ride momentum into tri natoisn,wallabies look to ride momentum into tri nations,wallabies look to ride momentum into try nation,0.02127659574468085,95.83333333333334,False
55,edwSGd snowden sprSks out on us telev(cion,edward snowden speaks out on us television,edwSGd snowmen speaks out on us television,0.07142857142857142,92.85714285714286,False
56,rothwell Fonsgitution and leadefshiO changes,rothwell constitution and leadership changes,rothwell constitution and leadership changes,0.0,100.0,True
57,&c&are alpl3owances to be extended mthCanks to tas woman,care allowances to be extended thanks to tas woman,care allowances to be extended thanks to was woman,0.02,98.0,False
58,rory gets montogemries ryder cup support,rory gets montgomeries ryder cup support,rosy gets montogemries rider cup support,0.15,85.0,False
59,napthine awtns to satpm out unions ' ' unholy alliance ' wit,napthine wants to stamp out unions' 'unholy alliance' wit,xanthine awns to satem out unions ' ' unholy alliance ' wit,0.7368421052631579,26.31578947368421,False
60,seskeg says road cpsims misguided,secker says road claims misguided,seeker says road claims misguided,0.030303030303030304,96.96969696969697,False
61,lcarek feels the rwtah of mcg fsan,clarke feels the wrath of mcg fans,care feels the wrath of mug fan,0.967741935483871,2.941176470588235,False
