Index,Original,Corrected,Predicted,Levenshtein Distance,Accuracy,Exact Match
0,tsnog bjos data pushes uastralain dollar higher,stong jobs data pushes australian dollar higher,snog bios data pushes australian dollar higher,0.9130434782608695,8.51063829787234,False
1,thier student chafgeV with %sxi drivers murder,their student is charged with taxi drivers murder,their student change with six drivers murder,0.6363636363636364,32.6530612244898,False
2,ofru teens chragde over sexual assault,four teens charged over sexual assault,of teens charge over sexual assault,0.9428571428571428,5.263157894736842,False
3,two years to restite power to irsa minKst#r,two years to restore power to iraq minister,two years to respite power to ira minister,0.2857142857142857,69.76744186046511,False
4,anger abpuF forced amalgamation disrupts fi#qt midcoast coincJl,anger about forced amalgamation disrupts first midcoast council,anger about forced amalgamation disrupts first mideast council,0.1935483870967742,79.36507936507937,False
5,port authoiryt stands by more airport efse,port authority stands by more airport fees,port authority stands by more airport else,0.09523809523809523,90.47619047619048,False
6,bill eho$ten 6 billion restricting vocagiogal education loAnX,bill shorten 6 billion restricting vocational education loans,bill shorten a billion restricting vocational education long,0.05,93.44262295081968,False
7,sydney news new plans releaCef zhos sirius builidng regamo,sydney news new plans released show sirius builidng revamp,sydney news new plans release zoos sirius building regard,0.47368421052631576,51.724137931034484,False
8,can you $#ll shakespeare f%oH artificial inteOllgence,can you tell shakespeare from artificial intelligence,can you all shakespeare for artificial intelligence,0.7647058823529411,22.641509433962266,False
9,2lectronicX zNop blaze considered suspicious,electronics shop blaze considered suspicious,electronics top blaze considered suspicious,0.7209302325581395,27.27272727272727,False
10,fosters ceo dizcussrs profit slJKp,fosters ceo discusses profit slump,fosters co discusses profit sleep,0.696969696969697,29.411764705882355,False
11,tv lpna to cut reigonla jobs union,tv plan to cut regional jobs union,to luna to cut regional jobs union,0.14705882352941177,85.29411764705883,False
12,iraq mortar strike sfss 11 kLkled,iraq mortar strike sees 11 killed,iraq mortar strike sass of killed,0.12121212121212122,87.87878787878788,False
13,copnamblS orphans lay parents to red%,coonamble orphans lay parents to rest,copnamblS orphans lay parents to red,0.08333333333333333,89.1891891891892,False
14,brocons aiming for top four finish ayss kelly,broncos aiming for top four finish says kelly,brooks aiming for top four finish ass kelly,0.9069767441860465,8.88888888888889,False
15,rina sentences omsuqe bombers to death reprto,iran sentences mosque bombers to death report,ring sentences mosque bombers to death repro,0.13636363636363635,84.44444444444444,False
16,aydneU man shL6 at in neighbourj0od row,sydney man shot at in neighbourhood row,sydney man she at in neighbourhood row,0.631578947368421,35.8974358974359,False
17,coronavirus ausFFalia live updates f<og victoria jobkewped,coronavirus australia live updates blog victoria jobkeeper,coronavirus australia live updates frog victoria jobkewped,0.06896551724137931,93.10344827586206,False
18,herculian prince cops c&Ls pemaltg,herculian prince cops cups penalty,herculean prince cops cars penalty,0.08823529411764706,91.17647058823529,False
19,share jarmet set for xlee(y start,share market set for sleepy start,share market set for sleepy start,0.0,100.0,True
20,bDnn4tt atayinT at knights report,bennett staying at knights report,bennett staying at knights report,0.0,100.0,True
21,bgenRia to miss opening wa&llambies tests,genia to miss opening wallabies tests,bgenRia to miss opening wallabies tests,0.9459459459459459,5.405405405405405,False
22,imlliosn oslt billing scams banks not checking cacuont names,millions lost billing scams banks not checking account names,million oslo billing scams banks not checking account names,0.847457627118644,15.0,False
23,pm up beat baotu wtear control apln,pm up beat about water control plan,pm up beat bantu wear control all,0.5757575757575758,40.0,False
24,*reykjav6ik zstGocks plunge 76pc on re op1eninBg,reykjavik stocks plunge 76pc on re opening,reykjavik stocks plunge pc on re opening,0.375,59.523809523809526,False
25,govt ruegd to continue scholoeis role,govt urged to continue schoolies role,govt rued to continue scholoeis role,0.8055555555555556,18.91891891891892,False
26,us fl2xRs muscles as asia worries anou6 woJth china sea row,us flexes muscles as asia worries about south china sea row,us fluxes muscles as asia worries about worth china sea row,0.05084745762711865,94.91525423728814,False
27,hIvt dedendw affordable housing delay,govt defends affordable housing delay,have depends affordable housing delay,0.10810810810810811,89.1891891891892,False
28,country nsw edpserate for odctosr,country nsw desperate for doctors,country new desperate for doctor,0.03125,93.93939393939394,False
29,ma$rtk kavanagh danny obrien win cobalt ban Aap@peal at Pvca*t,mark kavanagh danny obrien win cobalt ban appeal at vcat,mark kavanagh danny brief win cobalt ban appeal at Pvca*t,0.5714285714285714,42.857142857142854,False
30,contempt of cotur charge aganits paper rdopped,contempt of court charge against paper dropped,contempt of your charge against paper dropped,0.6444444444444445,34.78260869565217,False
31,gloucester jo6inJs fight for sh(arBe of nsw nminin5g,gloucester joins fight for share of nsw mining,gloucester joins fight for share of new mining,0.021739130434782608,97.82608695652173,False
32,patients !Arned of co^Mterfeit drugs,patients warned of counterfeit drugs,patients turned of counterfeit drugs,0.05555555555555555,94.44444444444444,False
33,blasts ikll 83 in eygptain red sea rserot,blasts kill 83 in egyptian red sea resort,blasts kill of in egyptian red sea resort,0.04878048780487805,95.1219512195122,False
34,ablrigijal land councils push for mo%thern teGgitory treaty,aboriginal land councils push for northern territory treaty,aboriginal land councils push for mother territory treaty,0.38596491228070173,59.32203389830508,False
35,obama rteRassurances over c1hroysler,obama reassurances over chrysler,obama reassurances over chrysler,0.0,100.0,True
36,beWr short short documentary acceptance Epeedh,best short short documentary acceptance speech,bear short short documentary acceptance speed,0.06666666666666667,91.30434782608695,False
37,aust sodliesr cleared vore airq bodyguard shooting,aust soldiers cleared over iraq bodyguard shooting,aust soldiers cleared more air bodyguard shooting,0.5102040816326531,48.0,False
38,smthi anticipating improved kiwis performance,smith anticipating improved kiwis performance,smith anticipating improved kiwis performance,0.0,100.0,True
39,un nuclear watchdog idse in car acciedtn,un nuclear watchdog dies in car accident,in nuclear watchdog idle in car accident,0.125,87.5,False
40,hicks at breaking point assy lawyer,hicks at breaking point says lawyer,hicks at breaking point ass lawyer,0.29411764705882354,68.57142857142857,False
41,uastraila to host spain in cup ifanl,australia to host spain in cup final,australia to host spain in cup final,0.0,100.0,True
42,elcetvie srugrey wiaitng times longest in act,elective surgery waiting times longest in act,elective surgery waiting times longest in act,0.0,100.0,True
43,report finds government failing d(sabl$d communigJ,report finds government failing disabled community,report finds government failing disabled community,0.0,100.0,True
44,council phoes for celna up with churchs building,council hopes for clean up with churchs building,council shoes for celia up with church building,0.3404255319148936,64.58333333333334,False
45,abbtot commits to 38 millino for hoabtr,abbott commits to 38 million for hobart,abbott commits to of million for hobart,0.05128205128205128,94.87179487179486,False
46,lfodo ivctmis get more mtie for aid,flood victims get more time for aid,food victims get more tie for aid,0.9393939393939394,5.714285714285714,False
47,gladXtoMe council delivers buEge6 rate cap,gladstone council delivers budget rate cap,gladstone council delivers budget rate cap,0.0,100.0,True
48,emerson labsts albro spending on qld drivers ilcecne system,emerson blasts labor spending on qld drivers licence system,emerson lasts also spending on old drivers licence system,0.8070175438596491,18.64406779661017,False
49,ken hengU david gonsiu audtraPia israel chamber of commerce,ken henry david gonski australia israel chamber of commerce,ken henge david gossip australia israel chamber of commerce,0.0847457627118644,91.52542372881356,False
50,patients wtai for surgery as nruess seek omer pay,patients wait for surgery as nurses seek more pay,patients tai for surgery as press seek omer pay,0.723404255319149,26.53061224489796,False
51,verrednre how free trade agreements can admgae free trade,verrender how free trade agreements can damage free trade,verrednre how free trade agreements can damage free trade,0.07017543859649122,92.98245614035088,False
52,2gyptiag head of armed fprc$s mAkDs breaks silence,egyptian head of armed forces makes breaks silence,egyptian head of armed forces makes breaks silence,0.0,100.0,True
53,anNoican church implements paedophile progrAK,anglican church implements paedophile program,anglican church implements paedophile program,0.0,100.0,True
54,wallabies look to ride momentum into tri natoisn,wallabies look to ride momentum into tri nations,wallabies look to ride momentum into try nation,0.02127659574468085,95.83333333333334,False
55,edwSGd snowden sprSks out on us telev(cion,edward snowden speaks out on us television,edward snowdon speaks out on us television,0.023809523809523808,97.61904761904762,False
56,rothwell Fonsgitution and leadefshiO changes,rothwell constitution and leadership changes,bothwell constitution and leadership changes,0.022727272727272728,97.72727272727273,False
57,&c&are alpl3owances to be extended mthCanks to tas woman,care allowances to be extended thanks to tas woman,care allowances to be extended thanks to as woman,0.16326530612244897,82.0,False
58,rory gets montogemries ryder cup support,rory gets montgomeries ryder cup support,rory gets montogemries ryder cup support,0.1,90.0,False
59,napthine awtns to satpm out unions ' ' unholy alliance ' wit,napthine wants to stamp out unions' 'unholy alliance' wit,xanthine awns to sat out unions a a unholy alliance a wit,0.7017543859649122,29.82456140350877,False
60,seskeg says road cpsims misguided,secker says road claims misguided,seeker says road claims misguided,0.030303030303030304,96.96969696969697,False
61,lcarek feels the rwtah of mcg fsan,clarke feels the wrath of mcg fans,care feels they utah of mag san,0.967741935483871,2.941176470588235,False
62,eatchers pet lynette dawson police esrach conculeds,teachers pet lynette dawson police search concludes,watchers pet lynette dawson police search concludes,0.058823529411764705,94.11764705882352,False
63,law ocucnil concerned over lcka of detail around court ucst,law council concerned over lack of detail around court cuts,law council concerned over like of detail around court us,0.08771929824561403,88.13559322033898,False
64,residents get toxic Qandz sl4an up Qssuranc$,residents get toxic sands clean up assurance,residents get toxic and sloan up assurance,0.5,47.72727272727273,False
65,wa man 4ern!est dann sentenced for &rap4e of teeInag(e girl,wa man ernest dann sentenced for rape of teenage girl,a man ernest ann sentenced for rape of teenage girl,0.9803921568627451,1.8867924528301887,False
66,couple cuFs AantAs over mid air drxmw,couple sues qantas over mid air drama,couple cuts wants over mid air draw,0.6285714285714286,35.13513513513514,False
67,pm pushes for mrurya darling cnortol,pm pushes for murray darling control,pm pushes for maurya darling control,0.1111111111111111,88.88888888888889,False
68,tiger t3ickPet salZens may be mislleadiMng accc,tiger ticket sales may be misleading accc,tiger ticket sales may be misleading acc,0.0,97.5609756097561,False
69,vanstone criticside over carer allownaec review,vanstone criticised over carer allowance review,sandstone criticize over carer allowance review,0.3617021276595745,63.829787234042556,False
70,WRrvice marks anniverDarH of embassy attack,service marks anniversary of embassy attack,service marks anniversary of embassy attack,0.0,100.0,True
71,redfern gang rXpiWt loses apLeao,redfern gang rapist loses appeal,refer gang rapist loses appear,0.9,9.375,False
72,devil wfalpl planned to save aussVi*e wic2on,devil wall planned to save aussie icon,devil fall planned to save aussie icon,0.02631578947368421,97.36842105263158,False
73,indonesia riK5s fighting stereotypes th3pugh the lSnE of 1998,indonesia riots fighting stereotypes through the lens of 1998,indonesia rings fighting stereotypes through they line of 1998,0.22950819672131148,77.04918032786885,False
74,System.out.pritnln(),System.out.println(),System.out.pritnln(),0.1,90.0,False
75,equels(),equals(),equels(),0.125,87.5,False
76,toSring(),toString(),toSring(),0.6666666666666666,30.0,False
77,comapreTo(),compareTo(),comapreTo(),0.18181818181818182,81.81818181818183,False
78,substrng(),substring(),substrng(),0.4,54.54545454545454,False
79,charT(),charAt(),charT(),0.42857142857142855,50.0,False
80,indxOf(),indexOf(),indxOf(),0.625,33.33333333333333,False
81,prsInt(),parseInt(),prsInt(),0.875,10.0,False
82,contians(),contains(),contians(),0.2,80.0,False
83,hashcode(),hashCode(),hashcode(),0.1,90.0,False
84,replase(),replace(),replase(),0.1111111111111111,88.88888888888889,False
85,trimm(),trim(),trimmed,0.3333333333333333,66.66666666666666,False
86,isEmty(),isEmpty(),isEmty(),0.5,44.44444444444444,False
87,splitt(),split(),splitter,0.2857142857142857,71.42857142857143,False
88,aad(),add(),aad(),0.2,80.0,False
89,sie(),size(),siege,0.6,33.33333333333333,False
90,gt(),get(),gtd,0.6666666666666666,20.0,False
91,srt(),set(),srt(),0.2,80.0,False
92,ppt(),put(),ppt(),0.2,80.0,False
93,remve(),remove(),remve(),0.5714285714285714,37.5,False
94,pritn(),print(),pritn(),0.2857142857142857,71.42857142857143,False
95,lenn(),len(),lennon,0.4,60.0,False
96,imput(),input(),imputed,0.42857142857142855,57.14285714285714,False
97,apend(),append(),apend(),0.7142857142857143,25.0,False
98,splitt(),split(),splitter,0.2857142857142857,71.42857142857143,False
99,jion(),join(),jion(),0.3333333333333333,66.66666666666666,False
100,repace(),replace(),repace(),0.625,33.33333333333333,False
101,strp(),strip(),strp(),0.5,42.857142857142854,False
102,uppr(),upper(),uppr(),0.5,42.857142857142854,False
103,lowr(),lower(),lowry,0.4,42.857142857142854,False
104,fnd(),find(),fnd(),0.8,16.666666666666664,False
105,counnt(),count(),counnt(),0.42857142857142855,57.14285714285714,False
106,srot(),sort(),srot(),0.3333333333333333,66.66666666666666,False
107,revers(),reverse(),reverse,0.0,77.77777777777779,False
108,popp(),pop(),poppy,0.4,60.0,False
109,remve(),remove(),remve(),0.5714285714285714,37.5,False
110,updte(),update(),updte(),0.5714285714285714,37.5,False
111,gt(),get(),gtd,0.6666666666666666,20.0,False
112,kys(),keys(),kys(),0.8,16.666666666666664,False
113,vlues(),values(),vlues(),0.8571428571428571,12.5,False
114,pritln(),println(),pritln(),0.625,33.33333333333333,False
115,isNulOrEmty(),isNullOrEmpty(),isNulOrEmty(),0.6153846153846154,33.33333333333333,False
116,isNullOrBlanck(),isNullOrBlank(),isNullOrBlanck(),0.2,80.0,False
117,toIn(),toInt(),toIn(),0.3333333333333333,57.14285714285714,False
